comment,biden_stance,trump_stance
i didnt watch it i get enuff bullchit out in the pasture ive watched clips and yep it was bullchit,NONE,FAVOR
buy more ammo,NONE,NONE
pathetic uninspiring very divisive no way your going to be reelected,AGAINST,FAVOR
i would rather watch someone have hemorrhoid surgery than watch his entire speech,NONE,FAVOR
11219 when you get to be my age certain things become clearer than ever unlike my pronunciation of the word clearer in this sentence the big guy,FAVOR,NONE
he dont give a dam about our country embarrassing president ever wake up america we need our future president trump back 2024 he will make america proud again president trump will take back our country we dont want sleepy joe 4 more years horrible president in the history,AGAINST,FAVOR
he forgot to bring the ice cream machine,FAVOR,NONE
when they say x is a threat to our democracy what they really mean is x is a threat to democrats being in power they act like they are the only party that should run this nation disgusting,AGAINST,FAVOR
4 more years,NONE,FAVOR
he thinks its a kids partyf off australia,NONE,NONE
speaker johnson did a super job at holding the impulse to vomit the poor guys not going to have any lips left by the end of this speech,NONE,FAVOR
what planet does this guy live on what a buffoon,NONE,AGAINST
if i were smart id go home now so true,NONE,NONE
hes right americans are under attack read deuteronomy in your bible and understand these illegal immigrants are here for one reason and one reason only to serve the black master in destroying america i dont believe this is joe biden,NONE,FAVOR
having your own baby murdered isnt healthcare and it isnt reproductive rights,NONE,FAVOR
i love how they wave red herrings and avoid saying abortion when talking about abortion,NONE,FAVOR
four more years how can anyone cheer for that,FAVOR,AGAINST
holy crap hunter has him turned right up,NONE,NONE
and why is steve scalise trailing behind this imbecile smiling and acting so giddythis entire government body has become a club of crooks designed to rob the we the people of not only our hard earned money but now of our god given freedoms this corruption and deception of we the people cannot continue as it has under clinton bush obama and the worst last 3 years ever this nothing more than a stagethe largest hypocrite ever prop joe biden along with several of those top villains wearing black robesand we cannot leave out the biggest joke of all vp harris so seriously pathetic unprecedented how much these socalled leaders have hurt our great nation overall god help us if joe biden is shoe horned into office another 4 years,AGAINST,NONE
biden licks ice cream,NONE,NONE
hello biden make america great again first please you talking to lies,AGAINST,FAVOR
political violence has no place unless its orchestrated by our guys,NONE,FAVOR
putinists in full attendence here in these comments the denail here is epic,AGAINST,FAVOR
sounds more like a campaign speech than a state of the union,FAVOR,NONE
junk fees are annoying but isnt there a difference between making a purchase with a convenience fee tacked on at the end of a transactions and credit card companies charging a late fee that is more than what it costs to instigate collection one is deceptive pricing just include the fee in the price which makes sense to regulate especially in the case of a monopoly like ticketmaster the other is in your credit card agreement known from day one its even called an agreement credit card companies arent moral paragons or anything but it is a business we should normalize not signing agreements and contracts we dont understand rather than having the government regulating what companies do that consumers agree to,NONE,NONE
the only danger to democracy is you and your diseased party,AGAINST,AGAINST
sadly 51 of the population if not more are idiots and will actually vote this idiot back in office,FAVOR,AGAINST
they say they are going to raise taxes on billionaires but normally they way they do that is by taxing the ways that they usually make money business owner vs employee what ends up happening is small businesses pay a higher corporate tax rate while the billionaires democrats say they are going after have the best lawyers and accountants who can exploit the ever increasing loopholes in the increasingly complicated tax code when biden says working people it is safe to assume he means people who file a w2 and millionaires and billionaires or the wealthy can safely be assumed to mean business owners,AGAINST,FAVOR
mike johnsons face says it all,NONE,NONE
first president that could ever be assassinated by a punch,NONE,FAVOR
all lies hows the drug problem in usa employment everything is going down hunter biden is making lots of money in china billions of dollars is being spent to ukraine while the americans doesnt even have family benefits now i believe fentanyl makes you talk too much,AGAINST,FAVOR
not one cent in taxes but inflation as a result of increasing charges to corporations is still a cost on tax payers,NONE,FAVOR
i dont think this guy will make it to 2030 just saying,AGAINST,FAVOR
wait to the drugs wear off and he falls on his face,NONE,AGAINST
dont try and steal this election either joe you are not our president you have done nothing good for this country people are worse off than ever and our country is in danger because of our border situation,AGAINST,FAVOR
everything from the beginning has been lies and more lies its time for you to go joe,AGAINST,NONE
this man is a disgrace and completely sickening abortion is not treatment,NONE,FAVOR
what about the american people nothing for us trump202now,FAVOR,AGAINST
joe says give me your money so i can choose how to spend it,AGAINST,NONE
all those people cheering him on are really pathetic,NONE,AGAINST
the funniest part were the sycophants that surrounded him at the end you were phenomenal you knocked it out of the park the fact that joetato was able to stand up for one hour at a time telling lies should not be considered impressive utterly worthless as a president and the harm hes done to this country will take a generation to fix,AGAINST,NONE
joe people do not want government hand outs they want a decent job and self respect period that means tax cuts to companies to give those jobs,NONE,FAVOR
sounded more like a wish list than a state of the union address,AGAINST,NONE
amazing what some uppers can do for a guy,NONE,NONE
wait people clap for him,NONE,FAVOR
no your border bill was crap how about you close the border instead of building an expressway,AGAINST,FAVOR
not what farmers say sorry thats false,NONE,FAVOR
after voting for trump twice i will never do it again i wasnt going to vote this time around but after this speech it has me thinking about voting for biden dont like the guy but i hate how much trump whines and complains and only talks about himself he failed to deliver on any policies he made promises on during the campaign i regret giving him a second chance in 2020 and voting for him trump should have let viv become the candidate,FAVOR,AGAINST
what money,NONE,NONE
full of sh,NONE,AGAINST
voted for trump twice not a biden fan but i have to give him credit when due he delivered the speech well we need to stop hating the other side and start spending time trying to find a middle ground ever since trump came into politics full grown adults are acting like little kids its okay to disagree and we should disagree but the name calling and each side calling each other unamerican needs to stop just because someone has liberal or conservative views doesnt make them unamerican we all are american my party has really disappointed me lately its lost focus on the country and become a party of trump instead of a party for america we all need to do better,NONE,FAVOR
the border will never be fixed by any president and neither will the economy her dithering diminshed comment it an insult to all seniors in america and the economics falls on the shoulder of the wealthy and large investors and banks unless at will employment and monopolies and wallstreet investment vehicles are altered nothing will get fixed administrations are straw bosses,AGAINST,NONE
joe mafia and all his little criminal state of the union minions,AGAINST,NONE
what was that guy shouting 10005,NONE,NONE
the contrast between a man who wants to be president to benefit the american people and a man who wants to be president to benefit himself and use the presidency as his vessel for retribution is crystal clear biden might stutter his words and hes not as progressive as bernie sanders who in my perfect world would be president but hes miles and metrict tons better than trump on not just character but most importantly policy when trump has to ask for your vote so that he can pardon himself from his numerous crimes rather than to help his voters that says everything that i need to know,FAVOR,AGAINST
got all day to debate with the maga cult gop bring what you got,FAVOR,NONE
close the borders close the borders close the borders,NONE,FAVOR
biden the great divider,AGAINST,NONE
lol spin and lies,NONE,AGAINST
last night was a sad frustrating and despicable display of brash diabolical politics for the nation and the world to witness watching the democrats bounce up and down supporting a socialist and corrupt dictator was a national disgrace and embarrassing to watch there was no message for unification but simply a disgraceful delivery of nonsensical and unrelated issues,AGAINST,FAVOR
president joe poopy pants state of confusion,AGAINST,NONE
most disgusting pathetic speech ever,AGAINST,FAVOR
biden was a joke over and over sad human being send him home,AGAINST,NONE
he hide in the basement and won the election just think hes out he should win in in a landslide joe biden 2024 go get them joe,FAVOR,NONE
joe wants to hire perverts to teach our children to not fear them the perverts,AGAINST,NONE
i wonder how much they paid the clapping seals to be there for that jackass,AGAINST,AGAINST
im speechless the first thing he mentioned is ukraine funding he is so delusional,AGAINST,FAVOR
all un truths and everyone knows it,NONE,AGAINST
what a joke america is toast,AGAINST,FAVOR
i find it funny all comments are turned off with cnn and the white house page they know theyd get cooked on every platform they will lose,AGAINST,FAVOR
even rbg didnt think roe v wade would hold up to scrutiny because it wasnt constitutional the supreme court does not exist to implement law but to make determinations on it its very possible for most americans to be wrong on a legal translation,NONE,NONE
this is not a state of the union address shame on this idiot and who was the idiot who wrote his script another idiot and why is palosi there well thats all the proof we need,AGAINST,FAVOR
and his very first comment about trump is an out of context quote used as a lie,NONE,FAVOR
a pathetic response but what can you expect from the modern republican party complaints about the border i guess its a good thing they tanked their own border deal i mean its probably better to try to shift blame on that issue than to blame the democrats for the repeal of roe vs wade anyone remember the old phrase the victors write the history books i dont think that applies when you have a voter base that amount to a bunch of mindless sheep that eat any sht you bother to feed them,FAVOR,AGAINST
wow talk about detached from reality delusional and outright lying to the people,NONE,AGAINST
looks like a geriatric convention nothing but projection and lies kackling kamala is definitely high again,AGAINST,NONE
this individual makes my physically ill he leaves out the money for ukraine the lies are overwhelming stunningly nauseating said lakens name wrong a stoke of the pen opened the border a stroke will close it no more bills needed he will not do anything except to keep destroying america,AGAINST,FAVOR
yes joe you will not walk away but for a small fee me my fellow dems and family will only charge 10 of the billion dollars you will make,FAVOR,NONE
my god hes pumped full of adderall look at his eyes,NONE,AGAINST
this is his last,NONE,NONE
he is the biggest lier i have ever seen if the american people put that sob back in office we will get what we deserve,FAVOR,AGAINST
sounds like joe gotta into hunters stash before the speech still wasnt enough to make him sound any more coherent,AGAINST,NONE
as far as the republicanj response i would rather had someone else anyone else deliver the republican response this was a shallow delivery this was a weak response even the context of the speach was lacking republicans need to do better than that i do not know who wrote this rebuttal but they did a terrible job i cannot believe this was a response to one one of the most important times in american history this was the response for the worst president in american history give me a break,FAVOR,AGAINST
everything he said he did he didnt do and everything he said he will do he wont do what a fucin joke,NONE,AGAINST
wow the president is loved by all lets forget about politics for a minute,NONE,NONE
bidens middle east policies have turned god against america the bible says god said those who protect isreal god will protect them those who appose israel god will appose them this is why america is on a decline and until we turn back to protecting israel we will continue to decline,AGAINST,FAVOR
now thats one chamber full of terrible specimengramps needs his ice cream,FAVOR,NONE
i didnt wanna get back involved in politics but after this im all in on with trump,NONE,FAVOR
senilely trembling all the way to the podium great choice america,AGAINST,FAVOR
well mtg showed what a class act she is,NONE,NONE
joe is so surprised to be in a room with all of his actual voters without chanting fjb and nobody asking him a question about something he said that he hasnt done beyond talking about joe biden the only president that his greatest accomplishments are being a victim of elected into a position that people that arent in power are to blame for everything that you could have accomplished physically in your term as president but was stopped by a twice impeached president i dont know laws but has anyone ever been twice impeached and the incumbent president still has to only campaign on taxpayers money and throw him in court hearings and still say that if you elect him for the second time its going to be the end of democracy im so inspired that biden finally quoted a president word for word not because i know its the only quote that hes,AGAINST,FAVOR
he brought up laken riley cause he was prewarned that the people would be looking forward to hearing something about it otherwise it wouldnt have been peeped at all this president totally sux worst one in history by far,FAVOR,AGAINST
looks like speaker johnson is sitting on the naughty step,NONE,NONE
if cant see crappie state the union is in you must be on the same drugs biden is on,AGAINST,NONE
you suck so bad biden,AGAINST,NONE
up yours republicans joe looks on the ball to me impressive,FAVOR,NONE
so looks like were gonna be forking out billions of more dollars for ukraine by the sounds of it,AGAINST,FAVOR
ill vote for a college graduate over this bozo in an instant,FAVOR,AGAINST
what a total joke,NONE,FAVOR
how much meth do you think they got him on for this,NONE,AGAINST
joe promises to bring the hostages held by hamas home isnt that what he had a fundamental responsibility to do when we pulled out of afghanistan thats what we can expect in the future from this hack,AGAINST,NONE
how much coke did he do with hunter before speech,NONE,NONE
president biden you aced the state of the union tonite,FAVOR,NONE
biden killed it so refreshing hearing a leader talk about things that matter to the average american and issues that affect them rather trump being his usual divisive self with his hate speech name calling trashing america and listing his self grievances with no policies besides catch phrases great job joe,FAVOR,AGAINST
ive been watching the state of the union since nixon when i was little boy i have never heard a president attack the sitting supreme court like biden did here if you looked at their faces even kagan and sotomayor were pissed,AGAINST,NONE
to me this woman is all blablabla and ludicrous emotional acting writing this while watching from germany we here are afraid of such politicians who are feeding usvoters fictional stories lies etc but zero facts and numbers why because there is none that can support her allegations joe biden has done a very good job and personally i wish we have someone as competent as he is as our chancellor he worked like a horse and signed so many laws like no other us president before and yes they improved and will continue improving your economy and your personal lives americans please do your own research trust your own eyes and ears if you dont trust your press watch englishspeaking european news channels there are laws in our country that prohibit deliberate lies in public and reporting false facts i wish you would have such strict laws too,FAVOR,AGAINST
he was good i dont get the haters no gaffes id expect a few,FAVOR,NONE
mtglove her,NONE,NONE
thats laken riley dim wit,NONE,NONE
how about the americans who are unjustly detained in our own state capital from an insurrection that wasnt anywhere near what the riots of 2020 were or 2016 this is ridiculous,FAVOR,AGAINST
the clapping is disgusting to me it hurts my heart that people are backing this up theyre such such takers they are not givers theyre not good people they can see whats happening and they know whats happening and they dont care because its not happening to them,AGAINST,FAVOR
he looks spaced out,NONE,FAVOR
raising corporate taxes will only increase the cost of what americans pay at the cash register and of coarse more tax,AGAINST,FAVOR
biden sick in the head he is so so so dishonest,AGAINST,NONE
the federal deficit was increased by government spending joes spending,AGAINST,NONE
you wouldnt have to fix the border if you werent the one who ruined it,AGAINST,FAVOR
he is the one who shouted to the sky when president trump wanted to stop the trips from china and he and the demonscrat did not accept and closed businesses but not the borders on any part,AGAINST,FAVOR
buy a home he obviously hasnt been told what the interest rates are like,NONE,FAVOR
so now were all gonna have to pay for everyone to get a tutor sorry joe i decided not to have kids i already pay for the broken public education system im not paying for someone elses private tutoring,AGAINST,NONE
bragging about fixing your own mess,FAVOR,AGAINST
my lord what pills amfetamine had they given him to work this energetic for so long time anyway i feel its just words not the reality situation in us sounds exactly as the democratic party socialdemokraterna in our country sweden same bs talk avoiding the reality situation in society n people,AGAINST,FAVOR
wheres hunter at the white house snorting coke,NONE,NONE
all the ones clappjng are the ones that are sending this country down the drain,AGAINST,FAVOR
oh the education system the system that takes children to view drag queens that is child abuse,NONE,FAVOR
rest assure that no senile person can hold a speech and present a dialog like he did i have met really senile persons so i know but many of you have not,AGAINST,NONE
all biden says is i i i i he didnt do diddly,AGAINST,NONE
he has had four years to fix the high cost of prescription drugs what the hell did he do i talked to a fella today that said his wife is paying 400 a month for one prescription empty promises,NONE,AGAINST
same company same drug same place except he was talking about moscow and berlin which are of course different places,NONE,AGAINST
wonder if he has his contents pants on,NONE,NONE
havent heard a republican talk about overturning obama care in many years its disingenuous to make that a talking point but it shows how desperate he is if hes gotta go back to his time as vice president to find a talking point that is popular,FAVOR,AGAINST
this human this poor spice that thing is waste their mentality is done and gonebehonany hope,NONE,NONE
he only have time to be a clown here he says whatever he wants funny clownthis is all fake numbers and so cheating sad for americans,FAVOR,AGAINST
there would be no war in ukraine if he had acted in 2020 instead of blabbing about minor incursions,FAVOR,AGAINST
notice that no one tore up his speech,FAVOR,AGAINST
joe is a stuffed shirt he can kma his mama is cringing,AGAINST,NONE
history is watching our economy go in the toilet,NONE,AGAINST
dems have a serious case of stockholm syndrome,AGAINST,FAVOR
vote democrat we need control you have no control stop,FAVOR,NONE
biden is such a huge piece of garbage,AGAINST,NONE
biteunomics biteunomics at its best is ruining the country,FAVOR,NONE
cant even watch this idiot,AGAINST,FAVOR
oh yeah air force 1 right to moscowwhat a joek its so so sad,AGAINST,FAVOR
hes ready to fix the border send him the bill so he can stop suing texas for enforcing border protection,FAVOR,FAVOR
why is he shouting through this whole speech,AGAINST,NONE
good bye old man government of old men and old women,AGAINST,NONE
its scary that they want 4 more years of this puppet,FAVOR,AGAINST
instead of raising the taxes on billionaires quit with all of the pork in your bills hidden in 4k page bills i for one couldnt care less about the transgender studies in taiwan,AGAINST,FAVOR
you cant love uhmerica only when you win followed by all the clapping cheering democrats who called trump illegitimate after he beat hilliary,NONE,FAVOR
hes so full of it,NONE,AGAINST
belvedere is wasting money on batteries that do not work if they arent catching on fire they are dying along side of roads because of the lack of infrastructure that wasnt in place first just like biden to pull the trigger on something that isnt ready sounds an awful lot like afghanistan,AGAINST,FAVOR
perfect example of a pathological liar dont believe me do some research,NONE,AGAINST
a effin clown show at the very least,NONE,AGAINST
we dont want your money we want a real president,FAVOR,AGAINST
wow taking credit for 15m jobs in 3 years after losing 22m jobs when he shut the country down for fauci,FAVOR,AGAINST
too bad they didnt have abortion rights 82 years ago,NONE,NONE
i truly cant understand what hes saying,NONE,NONE
what is up with the strange cough chronic pneumonia,NONE,AGAINST
heres the only positive thing i will say jill finally has on a decent outfit,FAVOR,NONE
not voting for biden hes selling america off little by little in my world things are not better,AGAINST,NONE
what economy is he looking at,AGAINST,NONE
im wondering what kind of drugs they got him on so he can talk hes never that clear when hes talking,NONE,FAVOR
were in a modern zeitgeist where the jester is the king,NONE,FAVOR
pretty difficult to portray joe biden as a dentist patient after a speech like that,AGAINST,NONE
hows maui,NONE,NONE
glad this is the last year i have to listen to this dude,NONE,AGAINST
where are all these jobs new small businesses oh right ukraine,AGAINST,FAVOR
gun control that governments want is always the predecessor to the peoples loss of freedom and the end of their rights being respected,NONE,FAVOR
wheres the critical analysis of the issues after the speech what is this brainwash by senator katie britt after biden finished talking,AGAINST,NONE
she really coud have made it a little less dramatic she sounds like a really bad actress,NONE,NONE
no politicians didnt block your bs bill we the voters then were going to show you how well you are liked next november americas worst president ladies and gentlemen i really dont think anyone will ever be as bad as he is lets just pray he doesnt nuke us all before election day,NONE,AGAINST
peace in israel will only come with their messiah,NONE,NONE
youre right women have less freedoms now after the supreme court overturned roe v wade,FAVOR,FAVOR
i really wish i could see any of these great things he said hes done the only one that i think ive seen is indeed there is only half a snickers bar where you still pay the old price lol thanks joe for fighting for our rites in the battle of junk food wars,FAVOR,NONE
last i checked ukraine isnt a part of nato,AGAINST,FAVOR
this was by far the weakest and saddest and most incompetent state of the union ever this mans a puppet barely breathing bragging about their mistakes worst president of my lifetime he is still proving it guys we need to do better like 5 years ago,AGAINST,FAVOR
how about stand with america american citizens,FAVOR,FAVOR
you can see the speaker face against everything that is good for the people and the country,FAVOR,AGAINST
they must have given him a ritalin b12 and cocaine booster shot,NONE,AGAINST
and ill die a republican and i would die for trump,NONE,FAVOR
i see the state of the union is not strong,AGAINST,FAVOR
the worst criminal politician of our time or maybe ever biden just step down or go to prison,AGAINST,NONE
is a shame the speaker face not agree what biden us saying,FAVOR,NONE
try telling michelle obama you cant love your country only when you win,FAVOR,FAVOR
he wants to raise taxes on the wealthy that only raises the rent for the poor what a dumbass,AGAINST,FAVOR
what do you say pay your fair share of taxes huh lol,FAVOR,NONE
democrats shred the constution because they dont comprehend it the founding fathers i am sure are shaking their heads especially perhaps benjamin franklin,AGAINST,FAVOR
ukraine is europes and americas first line of defense,FAVOR,NONE
hes old but he sure is sharp he actually has a vocabulary and talks about america i hope the republicans listened to him about passing the bill to help resolve the border he is just so articulate in comparison with trump would love to see them both debate and have a factchecker mediator calling either candidate out if the lie to us the american people the only issue i can see is that trump tries to shout him down each candidate has to have equal air time and allow the other candidates their time to address the american people,FAVOR,AGAINST
imagine unironically chanting four more years,NONE,FAVOR
biden talks about the clan he fought against integration in the schools what a hypocrite,AGAINST,NONE
he started the speech with taxation without representation stop robbing your people and giving the money away to foreigners at home and abroad,FAVOR,FAVOR
since numbnuts has been in office are home payment has risen 50000,NONE,AGAINST
i would love to know what cocktail of drugs they are giving him,NONE,NONE
think he was drinking out of the led pips for a long time,NONE,AGAINST
sorry i cant watch this lie,NONE,FAVOR
incredible how many lies they wrote up for biden to spew tonight the first half of the speech was full of bogus claims and skewed statistics trying to paint an economic picture totally at odds with reality many policy proposals were taken straight from the republicans and will never be seriously pursued all crafted to deceive it was a dizzying orchestra of propaganda but he did manage to hold himself together sufficiently i guess it was worth pumping him up with all that prevagen neurogen ritalin hunters cocaine and blood transfusions from two young children so he could get through that speech even though not a glimmer of truth shined out of it,AGAINST,FAVOR
katie brit at the end,NONE,NONE
companies dont pay anything people do businesses wont pay more in taxes without raising prices passing the burden on the people in the end,NONE,FAVOR
lie lielielie one after another this dude has diarrhea of the mouth,NONE,AGAINST
most asinine politician in american history get him out,AGAINST,AGAINST
get out of ukraine now bull,AGAINST,NONE
fjb to hell,AGAINST,NONE
sosteal more of our money put more of us in prison for exercising our basic human rights ignore the problem at the border borrow more moneybasically just keep making everything worse until the country doesnt exist gee fantastic,FAVOR,NONE
erybody at the end likei showed up pay me lmao,NONE,NONE
biden lower than dirt,AGAINST,NONE
thats another pack of lies what is he talking about my wifes medicines have gone only up her deductions have gone up dont let this flimflam man clown you hes doing nothing but telling one lie after another,FAVOR,AGAINST
blasphemer close your mouth,NONE,FAVOR
make your voices heard trump 2024 he didnt say a thing about how he politicized and when after his political opponents,NONE,FAVOR
what a shame opens the border and tells us we need to do something he didnt say anything about all the migrants all over these sanctuary cities that democrats wanted so bad,AGAINST,FAVOR
is it me or did the speaker tried to not laugh the entire time,NONE,NONE
what hes really talking a good game its really too bad its not reality lol,NONE,FAVOR
he ate up all those conspiracy theories lovers the gqp is lost,FAVOR,AGAINST
if you keep saying democracy only the morons will believe it,NONE,FAVOR
13654 and the oscar goes to lol,NONE,NONE
sorry trump 2024 duh,NONE,FAVOR
first women vice president not woman,FAVOR,NONE
i kind of thought some superstars coming in i mean the insurance is awesome reassuring and totally groundbreaking thank you jesus dont have to worry now,FAVOR,NONE
looking forward to joe defending his hate anger and revenge accusation in the debatesuk4trump24,AGAINST,FAVOR
lindsey graham got fatter over the 3 yrs why he wears green,NONE,NONE
id never waste my time watching a minute of this circus show bsall of it is bsand that old man talking doesnt deserve half the quality of life that he has,AGAINST,FAVOR
vote for biden is a vote for the end wake up,FAVOR,NONE
he said win that confli with china he cant motor the skills to say conflict,FAVOR,FAVOR
i wonder what are they clapping about ludicrous a bunch of clowns,AGAINST,AGAINST
our economy wont last 4 more whos paying for joes gifts for the illegal votes illegal policies we are but he wont listen to us,AGAINST,FAVOR
an angry man is compensating for a lack of inward confidence,NONE,AGAINST
why would he need to cut the credit card late fees from 3200 to 800 if the economy is booming and citizens are better off than before he was president just sayin,NONE,AGAINST
i can almost see what is going through kamalas head my if joe gets reelected that will mean that i will be the first woman president,FAVOR,NONE
maga doesnt have a clue that america is doing much better than the rest of the world after 2020 bidens policies benefits rural americans that the gop donors couldnt care less about gop has 2 things tax breaks for the 1 and hatredred meat for the uneducated and uninformed middle and low income,FAVOR,NONE
this is exactly the same bogus speech biden gave last year it literally feels like a rerun of last years state of the union speech,AGAINST,NONE
joe biden spit it out just say you need some more money,AGAINST,NONE
wow love the ways he lies and they clap wake up,NONE,AGAINST
he created jobs joes never created a job in his life the only job he ever created was his own in congress he thinks being angry equates with being right the angrier he gets illustrates just how empty his head is it amounts to overcompensation for a lack of true intellect,AGAINST,FAVOR
state of the union more like state of the biden campaign aka state of the onion peel back the layers to see the corruption hiding within like the rot to democracy mr b actually stands for,AGAINST,NONE
joe wants perverts teaching in elementary schools,AGAINST,FAVOR
he act and talk like he is the looser and working for chinese not americans look at his face,NONE,AGAINST
they seem to be keeping biden contained for her wont get lost you could see there are people around him keeping him from getting away,AGAINST,NONE
he is the puppet thats it wake up all lies,NONE,FAVOR
biggest looser nonsense layer extremely layered on the screen on american joe biden should be extremely shameful nonsense non confidence falling every minutes all those peoples clapping and chanting are paid for no real american citizens can do this,AGAINST,NONE
the same speech he gave to defend israel war crimes,NONE,FAVOR
no speak of hawaii,NONE,NONE
this place looks like an old folks home when does bingo start,NONE,NONE
you are watching the worlds greatest bs show the man can hardly can hold his head up as he is walking in and they flatter him as if he understands whats going on the best when they scream and clap 4 more years what a joke thank gd this is all being recorded so the many generations that will come will have a sad laugh at these lowlife idiots,NONE,AGAINST
jan 6 was not an insurrection no one has had charges brought against them to that effect there have been no convictions for insurrection,NONE,FAVOR
he didnt address that marines remark,NONE,FAVOR
biden probably slept all weekand got the best drugs to prepare for this he gonna crash hard,AGAINST,NONE
i will never vote for a democrat again i am glad i left the party to be independent biden is a racist authoritarian,AGAINST,NONE
bobert looks nice shes a beauty,NONE,NONE
please god get rid of this man,NONE,AGAINST
seems like the bar was set pretty low for success i mean hey he didnt mention recently conversing with any dead people and im sure the fact that it made no sense is just my lack of imagination,FAVOR,AGAINST
the lies,NONE,NONE
biden how many more babies have you blown up,AGAINST,NONE
i threw up 2 times watching the lies,FAVOR,NONE
this is a twilight zone he talks about the border and the issues that the border is presenting wait a minute did he not open it up he said that rich people should pay tax and his own son doesnt even pay tax i dont believe in anything he is saying all lies if you ask me mike johnsons face says it all he cant even bring himself to act like he agrees with everything he is saying he is keeping it real,AGAINST,FAVOR
clapping seals,NONE,NONE
he has been given a cocktail of b12 and something,NONE,NONE
couldnt help but to roll my eyes,NONE,FAVOR
how biden can tell those lies with a straight face is just beyond me he has somehow convinced himself hes telling the truth he wouldnt know the truth if it fell on him and i hope it does the democrats have to be defeated no matter what the cost he is worse than putin shee or kim un or the frickin iatolla they have to be stopped,AGAINST,NONE
nothing but lies on top of lies sickening,AGAINST,AGAINST
poor fella like a kid in a candy store he doesnt know which way to go hes up past his bed time,NONE,FAVOR
i feel bad for usa people so sad to hear these from this man from kennedy to raegan great men and now this the us have failed the world doesnt see yall like before,FAVOR,NONE
remember if you dont vote for me you a aint black,NONE,NONE
ladies and gentlemen i present u the guy whos defending and standing with war criminal and genocide,NONE,FAVOR
i cant watch this anymore lies he says nothing about laken murdered in athens by a criminal illegal aliens nothing,NONE,FAVOR
watching sotu it became clear that biden speech was hollow divisive misleading to say the least as usual palming hisadministration failures bad policy that have make america unsafe less prosperous blamed on others,AGAINST,FAVOR
he lied about the social secuity remark,FAVOR,AGAINST
white represents righteousness purity light and truth these dems should be dressed in black,AGAINST,FAVOR
public school teachers should be fired,NONE,NONE
did he just say they had the sharpest decline in murders does he live in america this man,FAVOR,AGAINST
nailed it,NONE,FAVOR
what does this have to do with america stop the border crossing say her name laken riley,AGAINST,FAVOR
this makes me so sad,NONE,NONE
absolutely powerful speech from biden even my maga father acknowledged he had a great speech no gaffes or stutters biden 2024,FAVOR,NONE
you suck i cant listen to this bs no more,NONE,AGAINST
this is all were going to get as far as debates go,NONE,FAVOR
wowall those parasites in love with each other,AGAINST,NONE
is that mtg with the maga hat on lol love her,NONE,FAVOR
is the gop response a toothpaster advert,NONE,NONE
you dont need more border patrol just close the border,NONE,FAVOR
i cannot believe he said what he did about lankin absolutely unbelievable,NONE,NONE
an incoherent pack of lies told by a lawless man claiming to be president truly disgraceful why didnt the republicans walk out as soon as he started talking and when asked why say im not here to listen to a rally speech given by a lying idiot,FAVOR,AGAINST
theyre clapping because hes almost out of there,NONE,AGAINST
sickening lies and more lies no more years,AGAINST,FAVOR
some of what bidens saying the laws were already in place he didnt do them smh,AGAINST,NONE
you born world war 2 you try to world war 3,AGAINST,FAVOR
adderall wears off,NONE,NONE
old liar,NONE,AGAINST
where does he live,NONE,NONE
i can understand people voted this old man are so disappointed now,AGAINST,NONE
marjorie is the best,NONE,NONE
how much is he paying all them clowns to clap,NONE,AGAINST
all for show,NONE,AGAINST
how about mental health its not the gun its the mental health of the person using the gun,NONE,NONE
sorry im not stupid this isnt joe biden he cant read a teleprompter much less naw,AGAINST,FAVOR
he dont mention a single thing that benefits our country unreal,FAVOR,AGAINST
booooooo fjb lies lies lies he actually thinks he dose good he needs help,AGAINST,NONE
well i wasnt very encouraged by biden prior to this speech but after watching this in its entirety yeah no way im voting for this old man windbag sorry not a chance,AGAINST,NONE
if i was smart id go home now he aint wrong,NONE,FAVOR
i though this was supposed to be a state of the union addressi tried had to quit watching what a joke,AGAINST,FAVOR
the irish fire huh,NONE,NONE
biden bought and paid for by any country with the highest bid sell out and chief,AGAINST,NONE
no catholic should vote for this guy we do not believe in abortion biden needs to be excommunicated from catholicism he is no catholic,AGAINST,NONE
afred e newman made an appearance,NONE,NONE
capitol police arrest and charge gold star dad whose son died in bidens afghan withdrawal unfortunately hes not an illegal alien so he will likely be prosecuted,AGAINST,NONE
what a bunch of kissasses,NONE,FAVOR
this was terrible biden opened the border and he can close it i dont want to here about ukraine as much as i care about the us people hes pushing the same sht thats not working biden has to go vote for trump 2024,AGAINST,FAVOR
all the other news stations have turned off their comments i guess they couldnt take the heat,NONE,FAVOR
speaker of the house disagrees with his inflation remark,FAVOR,FAVOR
you will find a way to give it to another country,NONE,FAVOR
the one thing that was evident tonight is that biden has a diminished capacity at talking he slurred his words and on cue blamed trump and republicans for everything he even mis pronounced laken riley called her lincoln he needs to go,AGAINST,FAVOR
joe joe joe joe go blow trump trump trump will get us out of bidens war time slump,FAVOR,FAVOR
all these demondcratic assholes kissing up to this fake president totally discuss me i was raised demoncrat only to find out i was taught a lie i have totally lost faith in government,AGAINST,FAVOR
hahaha good actor at the very end we could hear that you are going online,NONE,NONE
waiti think the arizona votes recount found somethinglolnopeawe mankeep dreamin tho,NONE,AGAINST
the state of the useless speech,AGAINST,NONE
greatest comback story isnt told but will soon be told,NONE,NONE
